Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,1,64,Jun 11,PIT,,SFG,W8-2,GS-7,W(1-0),99,6.1,7,2,2,0,2,0,1,2.84,2.89,27,81,59,18,8,12,12,5,1,0,53,,,0,0,0,25,1,0,0,0,0,0,.99,0.195,1.23,0.15%,0.63,1t start tie,7t -23 1 out a4
2,2,69,Jun 16,PIT,,LAD,W6-3,GS-6,W(2-0),4,5.2,7,3,3,0,1,0,0,3.75,2.80,23,80,52,8,4,10,12,5,0,0,44,,,1,0,0,23,1,0,0,1,0,0,1.11,-0.067,1.34,-0.05%,-0.92,1t start tie,6t 1-3 2 out a2
3,3,74,Jun 21,PIT,@,LAA,W5-2,GS-7,W(3-0),4,6.1,4,2,2,1,5,1,0,3.44,3.21,24,88,54,12,10,11,7,4,1,0,61,,,0,0,0,23,0,0,0,0,0,0,.80,0.091,.95,0.06%,0.70,1b start tie,7b 1-- 1 out a2
4,4,79,Jun 28,PIT,,MIL,W10-3,GS-6,W(4-0),6,6.0,8,3,3,3,3,0,1,3.70,3.42,27,94,56,19,6,11,9,5,0,0,44,,,0,1,0,23,1,0,0,2,0,0,.71,-0.161,.79,-0.11%,-0.48,1t start tie,6t 3 out a5
5,5,84,Jul 4,PIT,,PHI,L4-6,GS-6,L(4-1),5,5.1,8,3,3,1,5,0,0,3.94,3.12,23,78,53,14,7,7,10,8,2,0,44,,,0,2,0,21,1,0,0,0,0,0,1.12,0.071,1.18,0.04%,0.70,1t start tie,6t 12- 1 out a1
6,6,89,Jul 9,PIT,,OAK,L1-2,GS-7,L(4-2),4,7.0,5,2,2,2,4,1,0,3.68,3.40,26,90,55,18,7,11,9,4,2,0,61,,,0,0,0,24,1,0,0,2,0,0,1.05,0.048,1.19,0.03%,0.95,1t start tie,7t 3 out d1
7,7,93,Jul 14,PIT,,NYM,L2-4,GS-5,L(4-3),4,5.0,6,3,3,2,5,0,0,3.89,3.26,22,89,58,19,6,9,7,4,1,0,46,,,0,0,0,20,1,0,0,1,0,0,.96,-0.153,1.04,-0.10%,-0.90,1t start tie,5t 3 out d2
8,8,98,Jul 23,PIT,@,WSN,W5-1,GS-7,W(5-3),8,7.0,2,1,1,1,4,1,1,3.51,3.46,24,92,54,12,5,10,8,5,0,0,72,,,1,1,0,22,0,0,0,0,0,0,1.01,0.316,1.08,0.20%,2.19,1b start tie,7b 3 out a2
9,9,103,Jul 28,PIT,@,MIA,L2-3,GS-7,L(5-4),4,7.0,4,3,3,2,8,1,0,3.56,3.46,27,95,66,21,12,9,8,3,0,0,63,,,0,0,0,24,1,0,0,0,1,0,.97,-0.096,.97,-0.06%,0.16,1b start tie,7b 3 out d1
10,10,109,Aug 2,PIT,,COL,L2-4,GS-6,L(5-5),4,5.1,3,3,3,2,6,1,0,3.69,3.54,21,102,66,18,9,5,8,3,1,0,54,,,1,0,0,19,0,0,0,0,0,0,1.13,0.016,1.11,0.01%,0.42,1t start tie,6t 1-3 1 out tie
