Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
11,52,51,Jun 1,PIT,@,SFG,W4-3,GS-7,W(8-2),4,7.0,5,2,0,2,9,0,0,1.90,2.44,27,100,67,29,8,10,6,3,0,0,70,,,1,0,0,25,1,0,0,2,0,1,1.37,0.163,1.51,0.11%,1.22,1b start tie,7b 3 out a2
12,53,56,Jun 7,PIT,@,ATL,W3-0,GS-7,W(9-2),5,7.0,6,0,0,3,7,0,2,1.73,2.52,31,116,74,19,10,9,10,4,0,0,69,,,0,1,0,26,1,0,0,0,0,0,1.28,0.350,1.50,0.25%,3.15,1b start tie,7b 3 out a3
13,54,61,Jun 13,PIT,,PHI,W4-3,GS-6,W(10-2),5,6.0,5,2,1,0,7,0,0,1.71,2.40,23,93,65,17,11,5,11,5,2,0,63,,,2,0,0,22,1,0,0,0,1,0,1.10,0.117,1.24,0.08%,0.76,1t start tie,6t 3 out a2
14,55,66,Jun 18,PIT,@,CHW,W3-2,GS-7,W(11-2),4,7.0,3,2,2,3,4,1,0,1.78,2.61,27,106,66,17,9,12,8,5,0,0,64,,,1,0,0,22,1,0,0,0,1,0,1.35,0.072,1.57,0.05%,1.27,1b start tie,7b 3 out tie
15,56,71,Jun 24,PIT,,CIN,L2-5,GS-5,L(11-3),5,4.2,8,5,5,3,5,1,0,2.16,2.76,24,106,71,17,13,6,10,5,0,0,30,,,2,1,0,21,2,0,0,0,0,0,.62,-0.309,.76,-0.23%,-3.17,1t start tie,5t 1-3 2 out d4
16,57,76,Jun 30,PIT,@,DET,W5-4,GS-7,,5,6.2,9,2,2,0,6,0,1,2.20,2.69,29,107,66,19,9,13,9,3,1,0,54,,,0,0,0,28,3,0,0,1,0,0,1.52,0.126,1.59,0.08%,1.06,1b start tie,7b -2- 2 out a1
17,58,81,Jul 5,PIT,,CLE,W5-3,GS-8,W(12-3),4,8.0,5,3,3,1,5,0,0,2.28,2.66,28,106,69,21,7,12,10,8,1,0,64,,,1,0,0,26,1,0,0,2,0,0,.82,0.059,.94,0.04%,0.68,1t start tie,8t 3 out a2
18,59,86,Jul 10,PIT,,STL,W5-2,GS-7,W(13-3),4,7.0,6,2,2,2,3,1,0,2.30,2.80,28,114,71,18,11,14,9,3,2,0,58,,,0,0,0,26,2,0,0,1,0,0,.91,0.091,1.32,0.08%,1.22,1t start tie,7t 3 out a3
19,60,93,Jul 21,PIT,@,KCR,L1-3,GS-8,L(13-4),10,7.1,5,3,2,0,6,0,1,2.31,2.75,27,108,66,18,12,10,10,7,0,0,64,,,0,0,0,26,2,0,0,1,0,1,1.16,0.107,1.28,0.07%,1.37,1b start tie,8b -2- 1 out d2
20,61,98,Jul 26,PIT,,WSN,W3-1,GS-8,W(14-4),4,7.2,7,1,1,0,8,1,1,2.24,2.77,29,103,69,8,14,10,10,5,2,0,69,,,1,0,0,28,1,0,0,1,0,0,1.02,0.268,.98,0.15%,2.26,1t start tie,8t 12- 2 out a2
21,62,103,Aug 1,PIT,@,CIN,L3-4,GS-5,L(14-5),5,5.0,7,3,2,1,8,0,0,2.29,2.69,23,98,66,9,18,5,9,8,0,0,50,,,2,0,0,21,2,1,0,0,1,0,1.10,-0.149,1.10,-0.09%,-0.68,1b start tie,5b 3 out d2
22,63,107,Aug 7,PIT,,LAD,W5-4,GS-6,,5,6.0,4,3,3,3,5,0,1,2.39,2.72,24,91,56,10,7,4,11,6,2,0,54,,,1,0,0,20,1,0,0,2,0,0,1.23,-0.073,1.33,-0.05%,-0.24,1t start tie,6t 3 out a1
23,64,111,Aug 12,PIT,@,STL,L2-4,GS-6,L(14-6),4,5.1,7,4,3,2,6,0,0,2.48,2.70,25,106,70,20,9,7,10,5,0,0,44,,,0,0,0,23,0,1,0,1,0,1,1.12,-0.266,1.41,-0.20%,-1.69,1b start tie,6b 1-- 1 out d2
24,65,116,Aug 17,PIT,,ARI,L1-4,GS-7,L(14-7),4,6.2,9,4,4,1,5,1,0,2.61,2.75,27,110,77,17,11,9,12,8,0,0,44,,,0,2,0,26,2,1,0,1,0,0,.54,-0.191,.48,-0.10%,-1.00,1t start tie,7t 1-- 2 out d3
25,66,121,Aug 22,PIT,,SFG,W3-2,GS-7,,4,7.0,3,1,0,3,8,0,0,2.49,2.73,28,112,73,14,15,8,9,4,1,0,74,,,3,0,0,24,0,0,0,0,0,0,1.37,0.264,1.24,0.14%,2.22,1t start tie,7t 3 out tie
26,67,126,Aug 27,PIT,@,MIA,W2-1,GS-8,W(15-7),4,7.1,5,1,1,0,4,0,0,2.44,2.70,27,95,63,20,2,12,11,7,1,0,68,,,0,0,0,25,0,0,0,0,1,0,1.29,0.241,.96,0.11%,1.93,1b start tie,8b -2- 1 out a1
27,68,130,Sep 1,PIT,@,MIL,L4-7,GS-4,L(15-8),4,4.0,8,5,5,1,2,0,0,2.64,2.70,19,77,49,14,4,7,9,5,1,0,27,,,1,1,0,18,3,0,0,0,0,0,.54,-0.321,.31,-0.11%,-3.14,1b start tie,4b 3 out d5
28,69,135,Sep 6,PIT,@,STL,W7-1,GS-7,W(16-8),4,7.0,2,0,0,3,7,0,0,2.54,2.69,26,99,59,14,8,5,11,4,1,0,77,,,0,0,0,23,0,0,0,0,0,0,1.11,0.450,.80,0.20%,3.28,1b start tie,7b 3 out a2
29,70,143,Sep 15(1),PIT,,CHC,W5-4,GS-7,,8,6.1,6,4,3,0,8,0,1,2.60,2.64,26,105,73,23,17,7,10,4,1,0,55,,,1,0,0,24,1,0,0,0,1,0,.96,-0.037,1.21,-0.03%,-0.14,1t start tie,7t -23 1 out a2
30,71,149,Sep 20,PIT,@,LAD,W4-3,GS-7,W(17-8),4,7.0,6,3,3,0,9,1,0,2.64,2.63,26,108,71,17,17,6,11,7,1,0,62,,,1,0,0,26,1,1,0,0,0,0,.97,0.058,.77,0.03%,0.09,1b start tie,7b 3 out a1
31,72,154,Sep 25,PIT,@,CHC,W3-2,GS-7,W(18-8),4,7.0,4,1,1,2,8,0,0,2.60,2.60,26,109,68,12,14,7,9,1,4,0,71,,,0,1,0,24,0,0,0,0,0,0,1.33,0.306,.98,0.14%,2.19,1b start tie,7b 3 out a1
32,73,158,Sep 30(1),PIT,,STL,W8-2,GS-7,W(19-8),4,7.0,7,2,2,0,2,1,0,2.60,2.66,27,100,73,21,4,13,12,6,0,0,57,,,0,0,0,26,3,0,0,0,0,0,.65,0.107,.36,0.04%,1.22,1t start tie,7t 3 out a5
