Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,42,2,Apr 8,PIT,@,CIN,L4-5,GS-5,,99,5.0,5,3,3,2,6,1,0,5.40,4.53,22,93,56,14,9,8,6,4,1,0,49,,,2,0,0,19,1,0,0,1,0,1,1.37,-0.119,1.47,-0.08%,-0.68,1b start tie,5b 3 out tie
2,43,7,Apr 13,PIT,,DET,W5-4,GS-7,W(1-0),4,6.0,3,1,1,2,8,0,0,3.27,2.86,23,94,63,17,14,8,5,4,0,0,68,,,0,0,0,21,0,0,0,0,0,0,.96,0.039,.83,0.02%,0.94,1t start tie,7t 123 0 out a2
3,44,12,Apr 19,PIT,,MIL,W5-2,GS-6,W(2-0),5,6.0,4,2,1,1,6,0,0,2.65,2.43,24,95,65,18,11,13,4,2,0,0,63,,,0,0,0,23,0,0,0,1,0,2,1.17,0.143,1.09,0.08%,0.76,1t start tie,6t 3 out a1
4,45,17,Apr 24,PIT,@,ARI,W4-1,GS-8,W(3-0),4,7.2,7,1,1,2,7,0,0,2.19,2.32,32,108,78,25,14,13,10,7,0,0,66,,,0,0,0,30,1,0,0,0,0,0,.96,0.330,.93,0.19%,2.68,1b start a 1,8b 1-- 2 out a3
5,46,22,Apr 29,PIT,@,CHC,W8-1,GS-6,W(4-0),4,6.0,3,1,0,1,8,0,1,1.76,2.16,20,95,59,13,11,7,3,2,0,0,71,,,0,1,0,18,0,0,0,1,0,0,.95,0.167,1.10,0.12%,1.73,1b start tie,6b 3 out a5
6,47,27,May 6,PIT,,CIN,L0-3,GS-5,L(4-1),6,5.0,8,3,3,2,4,1,0,2.27,2.60,24,91,55,15,5,8,10,6,0,0,41,,,2,0,0,22,1,1,1,1,0,0,1.10,-0.121,.99,-0.07%,-0.70,1t start tie,5t 3 out d3
7,48,32,May 11,PIT,@,PHI,W4-3,GS-7,W(5-1),4,7.0,6,2,2,2,6,0,1,2.32,2.62,29,94,60,15,8,7,13,6,2,0,61,,,0,0,0,26,0,0,0,1,0,0,1.33,0.166,1.09,0.08%,1.15,1b start tie,7b 3 out a2
8,49,37,May 16,PIT,@,CHC,L1-4,GS-6,L(5-2),4,6.0,7,2,2,1,8,0,0,2.40,2.41,25,107,70,24,9,8,8,5,0,0,57,,,2,1,0,23,0,0,0,1,1,1,.96,0.026,.91,0.02%,0.73,1b start tie,6b 3 out d1
9,50,41,May 22,PIT,,NYM,W4-1,GS-9,W(6-2),5,8.1,6,1,0,1,10,0,1,2.05,2.27,29,111,75,24,16,10,7,4,1,0,78,,,0,2,0,26,0,0,0,3,0,1,1.08,0.285,.74,0.12%,2.27,1t start tie,9t 12- 1 out a3
10,51,46,May 27,PIT,,MIA,W5-2,GS-7,W(7-2),4,7.0,7,2,2,0,7,2,0,2.11,2.56,27,81,57,16,6,9,11,6,0,0,62,,,2,0,0,27,0,0,0,1,0,0,.85,0.079,.81,0.05%,1.22,1t start tie,7t 3 out d2
