Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,160,2,Mar 29,HOU,@,TBR,L2-4,GS-6,L(0-1),99,6.0,5,4,1,0,10,1,0,1.50,2.05,25,101,71,14,16,4,11,5,0,0,62,,,1,0,0,25,0,0,0,0,0,2,1.00,-0.162,.99,-0.10%,-0.82,1b start tie,6b 3 out d2
2,161,7,Apr 3,HOU,@,TEX,L0-4,GS-6,L(0-2),4,6.0,4,3,3,3,9,0,0,3.00,1.88,25,105,70,20,19,6,7,5,1,0,58,,,2,0,0,22,1,0,0,0,0,0,.68,-0.024,.66,-0.01%,0.68,1b start tie,6b 3 out d3
3,162,12,Apr 9,HOU,,NYY,W6-3,GS-7,,5,7.0,4,3,3,3,6,1,0,3.32,2.90,27,99,64,13,13,9,9,5,0,0,60,,,0,0,0,24,1,0,0,1,0,0,1.18,0.027,1.15,0.02%,0.98,1t start tie,7t 3 out d1
4,163,16,Apr 14,HOU,@,SEA,W3-2,GS-6,W(1-2),4,6.0,4,2,2,0,11,1,0,3.24,2.61,21,101,64,17,18,2,8,1,1,0,67,,,0,1,0,21,2,0,0,0,0,0,.68,0.076,.92,0.06%,1.11,1b start tie,6b 3 out tie
5,164,20,Apr 20,HOU,@,TEX,L4-9,GS-5,L(1-3),5,4.1,9,9,8,3,8,1,0,5.22,2.91,25,104,68,18,16,6,8,5,1,0,16,,,1,1,0,22,3,0,0,0,0,1,.59,-0.347,.82,-0.29%,-4.96,1b start tie,5b 12- 1 out d5
6,165,25,Apr 25,HOU,,CLE,L1-2,GS-7,L(1-4),4,7.0,3,2,2,3,10,2,0,4.71,3.38,26,103,63,12,20,7,6,3,0,0,70,,,1,0,0,23,0,0,0,1,0,0,.83,0.167,1.03,0.12%,1.98,1t start tie,7t 3 out d1
7,166,30,Apr 30,HOU,@,MIN,W11-0,GS-7,W(2-4),4,7.0,1,0,0,3,11,0,0,3.95,3.05,24,104,71,18,16,3,7,1,1,0,83,,,0,0,0,21,1,0,0,1,0,0,.66,0.307,.80,0.22%,3.83,1b start tie,7b 3 out a7
8,167,35,May 6,HOU,,KCR,W6-4,GS-7,W(3-4),5,6.1,7,4,4,0,9,2,0,4.17,3.23,26,107,77,21,18,7,10,5,0,0,52,,,1,0,0,26,0,0,0,0,0,0,1.08,-0.052,1.36,-0.04%,-0.32,1t start tie,7t --- 1 out a1
9,168,40,May 11,HOU,,TEX,W11-4,GS-6,W(4-4),4,6.0,4,1,1,0,12,1,0,3.88,3.03,22,97,68,11,16,4,6,2,1,0,72,,,0,0,0,22,0,0,0,0,0,0,1.18,0.263,1.79,0.24%,2.42,1t start tie,6t 3 out a1
10,169,45,May 17,HOU,@,BOS,W3-1,GS-5,,5,5.0,6,0,0,1,7,0,0,3.56,2.87,22,99,62,12,13,6,8,6,0,0,61,,,1,0,0,21,3,0,0,0,0,0,1.19,0.299,1.39,0.21%,2.93,1b start tie,5b 3 out tie
11,170,50,May 22,HOU,,CHW,L4-9,GS-6,L(4-5),4,5.0,7,6,6,1,7,2,0,4.11,3.12,22,92,62,13,12,6,8,5,0,0,35,,,0,0,0,21,1,0,0,0,0,0,.99,-0.374,1.04,-0.24%,-2.66,1t start tie,6t -23 0 out d1
12,171,55,May 27,HOU,,CHC,W6-5,GS-6,W(5-5),4,6.0,3,2,2,1,12,1,0,4.02,3.02,22,99,69,18,25,5,4,1,1,0,69,,,0,0,0,21,0,0,0,0,0,0,.70,0.075,.79,0.05%,1.42,1t start tie,6t 3 out a4
13,172,60,Jun 2,HOU,@,OAK,W6-4,GS-6,,5,6.0,4,2,2,2,4,2,0,3.94,3.34,23,104,67,12,7,8,9,1,3,0,58,,,0,1,0,21,1,0,0,0,0,0,1.09,0.142,1.29,0.10%,1.11,1b start a 1,6b 3 out a1
14,173,65,Jun 7,HOU,,BAL,W4-3,GS-7,,4,7.0,4,3,1,0,14,1,1,3.72,3.19,27,113,80,16,27,8,4,1,1,0,75,,,0,0,0,26,1,0,0,0,0,1,.85,0.099,.66,0.05%,0.98,1t start tie,7t 3 out tie
15,174,70,Jun 14,HOU,,TOR,W15-2,GS-6,W(6-5),6,6.0,3,2,2,2,10,0,1,3.67,3.07,24,100,64,17,13,0,11,6,2,0,66,,,0,0,0,21,1,0,0,0,0,0,.53,0.131,.39,0.06%,1.42,1t start tie,6t 3 out a8
16,175,75,Jun 19,HOU,@,CIN,L2-3,GS-6,,4,6.0,6,1,1,3,8,1,0,3.54,3.14,26,94,64,18,13,7,8,5,1,0,61,,,0,0,0,23,0,0,0,1,0,0,1.03,0.241,.92,0.13%,2.37,1b start tie,6b 3 out a1
17,176,80,Jun 25,HOU,,PIT,W5-1,GS-6,W(7-5),5,6.0,7,1,1,2,3,0,0,3.42,3.15,26,104,69,14,15,9,12,8,1,0,55,,,0,1,0,23,2,0,0,0,0,0,1.36,0.258,1.49,0.17%,2.42,1t start tie,6t 3 out a1
18,177,85,Jun 30,HOU,,SEA,W6-1,GS-7,W(8-5),4,7.0,5,1,1,1,10,1,0,3.28,3.11,25,109,74,24,13,7,7,5,0,0,72,,,0,1,0,24,0,0,0,1,0,0,.98,0.343,1.14,0.24%,2.98,1t start tie,7t 3 out a2
19,178,89,Jul 6,HOU,,LAA,W4-0,GS-7,W(9-5),5,7.0,3,0,0,2,9,0,0,3.09,3.02,25,110,70,20,19,7,7,3,3,0,78,,,0,0,0,23,1,0,0,1,0,0,.94,0.422,1.08,0.29%,3.98,1t start tie,7t 3 out a3
20,179,92,Jul 12,HOU,@,TEX,L8-9,GS-6,,5,6.0,5,4,4,2,13,3,0,3.23,3.18,26,101,74,18,23,5,6,2,1,0,57,,,1,0,0,24,0,0,0,0,0,1,1.20,-0.064,1.61,-0.05%,-0.32,1b start tie,6b 3 out a3
21,180,97,Jul 17,HOU,@,LAA,W11-2,GS-7,W(10-5),4,7.0,7,1,1,1,11,1,0,3.12,3.14,28,109,76,26,21,6,10,4,0,0,69,,,0,0,0,27,0,0,0,0,0,0,.33,0.132,.45,0.11%,2.87,1b start a 3,7b 3 out a10
22,181,102,Jul 22,HOU,,OAK,W11-1,GS-7,W(11-5),4,7.0,2,1,1,1,11,0,0,3.03,3.00,24,106,67,23,14,2,10,3,1,0,79,,,0,0,0,23,2,0,0,0,0,0,.25,0.149,.31,0.11%,2.98,1t start tie,7t 3 out a10
23,182,106,Jul 27,HOU,@,STL,W8-2,GS-7,W(12-5),4,7.0,4,1,1,3,7,1,0,2.94,3.07,27,101,65,16,7,5,12,3,5,0,69,,,0,0,0,24,2,0,0,1,0,0,.56,0.191,.40,0.08%,2.56,1b start a 2,7b 3 out a5
24,183,110,Aug 1,HOU,@,CLE,W7-1,GS-7,W(13-5),4,7.0,4,1,1,2,4,0,0,2.87,3.06,25,95,65,13,10,6,13,3,1,0,67,,,1,0,0,22,2,0,0,0,1,0,1.18,0.364,.74,0.14%,3.02,1b start a 1,7b 3 out a3
25,184,115,Aug 7,HOU,,COL,W14-3,GS-6,W(14-5),5,6.0,3,2,2,0,10,2,0,2.87,3.11,21,103,69,18,15,3,8,1,4,0,68,,,0,0,0,21,0,0,0,0,0,0,.40,0.050,.17,0.01%,1.42,1t start tie,6t 3 out a8
26,185,129,Aug 22,HOU,,DET,W6-3,GS-7,W(15-5),14,7.0,2,0,0,1,12,0,0,2.75,2.98,24,94,65,13,23,5,6,1,2,0,84,,,0,0,0,23,0,0,0,0,0,0,.85,0.414,.40,0.12%,3.98,1t start tie,7t 3 out a3
27,186,134,Aug 28,HOU,,TBR,W8-6,GS-7,,5,6.2,6,4,4,1,14,1,0,2.85,2.92,27,112,78,20,23,7,5,2,1,0,59,,,0,0,0,25,1,1,0,0,1,0,1.01,-0.094,.25,-0.01%,-0.27,1t start tie,7t 1-- 2 out d1
28,187,139,Sep 2,HOU,@,MIL,W3-2,GS-6,,4,6.0,3,1,1,2,14,1,0,2.81,2.88,23,105,65,13,27,4,3,0,1,0,74,,,0,0,0,21,0,0,0,0,0,0,1.22,0.270,.21,0.03%,2.21,1b start tie,6b 3 out a1
29,188,144,Sep 8,HOU,,SEA,W21-1,GS-8,W(16-5),5,8.0,1,1,1,0,15,1,0,2.73,2.80,25,96,68,27,23,7,3,0,0,0,91,,,0,0,0,25,0,0,0,0,0,0,.22,0.149,.04,0.02%,3.55,1t start tie,8t 3 out a20
30,189,149,Sep 13,HOU,@,KCR,W4-1,GS-8,W(17-5),4,8.0,4,1,0,2,11,0,0,2.62,2.74,29,101,70,25,19,3,13,7,1,0,81,,,1,0,0,26,2,0,0,0,1,0,1.44,0.350,.22,0.03%,3.51,1b start a 1,8b 3 out tie
31,190,153,Sep 18,HOU,,TEX,W3-2,GS-8,W(18-5),4,8.0,6,2,2,1,10,1,0,2.61,2.73,30,101,73,19,17,8,11,4,0,0,71,,,1,0,0,29,0,0,0,0,0,0,1.42,0.354,.25,0.04%,2.55,1t start tie,8t 3 out a1
32,191,157,Sep 24,HOU,@,SEA,W3-0,GS-7,W(19-5),5,7.0,2,0,0,0,14,0,0,2.52,2.62,23,101,63,23,16,4,5,1,1,0,87,,,0,0,0,23,1,0,0,0,0,0,.99,0.444,.14,0.04%,3.63,1b start tie,7b 3 out a3
33,192,162,Sep 29,HOU,@,LAA,W8-5,GS-5,W(20-5),4,5.0,4,1,1,2,10,1,1,2.50,2.64,22,92,59,14,19,4,5,3,0,0,63,,,0,0,0,19,2,0,0,0,0,0,.66,0.119,.03,0.00%,1.76,1b start a 1,5b 3 out a7
