Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
13,140,64,Jun 7,HOU,@,TEX,W5-2,GS-6,W(7-1),5,6.0,3,1,1,3,8,0,0,2.16,2.56,24,102,69,21,11,5,8,1,3,0,67,,,0,0,0,21,0,0,0,0,0,0,1.04,0.246,1.37,0.19%,2.38,1b start tie,6b 3 out a3
14,141,69,Jun 13,HOU,@,OAK,W13-5,GS-6,W(8-1),5,6.0,6,4,4,2,6,2,0,2.40,2.81,26,99,64,16,8,6,12,4,4,0,48,,,0,0,0,24,1,0,0,0,0,0,.21,0.050,.28,0.04%,-1.03,1b start a 3,6b 3 out a6
15,142,74,Jun 18,HOU,,TBR,W5-4,GS-7,,4,7.0,3,4,4,5,8,1,0,2.59,2.95,28,116,74,18,15,8,7,1,1,0,58,,,1,0,0,23,0,0,0,0,0,0,.77,-0.084,.80,-0.05%,-0.46,1t start tie,7t 3 out d1
16,143,79,Jun 24,HOU,,KCR,W11-3,GS-5,W(9-1),5,5.0,2,1,1,3,8,1,0,2.56,3.02,20,104,70,19,15,4,5,3,0,0,64,,,2,0,0,17,0,1,0,0,0,0,.68,0.113,.69,0.07%,1.53,1t start tie,5t 3 out a8
17,144,84,Jun 29,HOU,@,TBR,L2-3,GS-6,L(9-2),4,6.0,5,3,1,3,5,0,1,2.50,3.04,29,103,67,11,7,8,12,8,0,0,56,,,2,0,0,23,0,0,0,0,1,2,1.00,-0.062,.91,-0.03%,-0.03,1b start tie,6b 3 out d1
18,145,88,Jul 4,HOU,@,TEX,W5-4,GS-5,,4,5.0,8,4,4,2,7,1,1,2.70,3.12,25,108,72,14,19,6,9,4,0,0,40,,,1,0,0,22,2,0,0,1,0,0,.96,-0.082,1.05,-0.05%,-1.19,1b start tie,5b 3 out tie
19,146,93,Jul 9,HOU,,OAK,L0-2,GS-6,,4,6.0,3,0,0,3,11,0,0,2.57,3.01,23,108,71,19,23,3,6,2,1,0,74,,,0,0,0,20,0,0,0,1,0,0,1.12,0.357,1.20,0.23%,3.03,1t start tie,6t 3 out tie
20,147,98,Jul 14,HOU,,DET,W9-1,GS-6,W(10-2),4,5.2,3,1,1,4,8,0,0,2.52,2.99,24,107,72,13,19,3,9,4,2,0,63,,,1,0,0,20,1,0,0,0,0,0,.59,0.175,.57,0.10%,1.71,1t start tie,6t -2- 2 out a6
21,148,103,Jul 24,HOU,@,COL,W8-2,GS-7,,9,6.1,5,2,2,1,9,0,0,2.54,2.89,24,102,67,17,13,5,9,6,1,0,63,,,0,0,0,23,3,0,0,1,0,0,1.24,0.029,1.15,0.02%,1.38,1b start a 2,7b 1-- 1 out tie
22,149,108,Jul 30,HOU,@,SEA,L0-2,GS-7,L(10-3),5,6.2,4,2,2,2,8,0,1,2.55,2.85,27,101,72,21,13,6,10,5,1,0,64,,,1,0,0,24,1,0,0,0,0,0,1.02,0.027,1.81,0.03%,0.93,1b start tie,7b 12- 2 out d2
23,150,113,Aug 5,HOU,@,LAD,L2-3,GS-5,L(10-4),5,5.0,6,3,3,1,8,0,0,2.64,2.77,22,99,66,19,7,5,8,5,0,0,50,,,0,0,0,21,4,0,0,0,0,0,1.06,-0.116,.96,-0.06%,-0.64,1b start a 1,5b 3 out d1
24,151,117,Aug 10,HOU,,SEA,L2-5,GS-8,L(10-5),4,7.1,6,4,4,1,5,0,0,2.75,2.74,29,93,63,13,10,10,13,9,2,0,54,,,0,0,0,28,3,0,0,0,0,0,1.37,0.020,1.80,0.02%,0.85,1t start tie,8t 1-3 1 out tie
25,152,121,Aug 15,HOU,,COL,W12-1,GS-6,W(11-5),4,6.0,5,1,1,0,12,0,0,2.71,2.61,22,86,64,13,19,5,5,2,0,0,70,,,1,0,0,22,0,0,0,1,0,0,.35,0.125,.54,0.11%,2.03,1t start tie,6t 3 out a9
26,153,125,Aug 20,HOU,@,SEA,L4-7,GS-5,,4,5.0,7,3,2,2,7,0,0,2.73,2.58,24,99,68,18,10,7,8,4,0,0,48,,,0,0,0,21,3,0,0,0,1,1,1.37,-0.052,2.96,-0.07%,-0.60,1b start a 1,5b 3 out a1
27,154,131,Aug 27,HOU,,OAK,W11-4,GS-6,W(12-5),6,6.0,4,4,4,2,8,2,0,2.85,2.69,23,96,62,15,9,7,6,1,3,0,54,,,0,0,0,21,2,0,0,1,0,0,1.02,-0.026,2.46,-0.04%,-0.97,1t start tie,6t 3 out a1
28,155,137,Sep 2,HOU,,LAA,W4-2,GS-6,W(13-5),5,5.2,6,2,2,3,9,0,1,2.86,2.67,27,113,76,23,19,7,7,3,4,0,55,,,0,0,0,23,0,0,0,0,0,0,1.54,0.186,2.09,0.15%,1.59,1t start tie,6t 12- 2 out a2
29,156,141,Sep 7,HOU,@,BOS,W6-3,GS-6,,4,6.0,5,2,2,2,8,1,0,2.86,2.70,25,97,64,17,13,5,10,7,1,0,60,,,0,1,0,22,0,0,0,0,1,0,.88,0.043,.81,0.02%,1.19,1b start tie,6b 3 out d2
30,157,146,Sep 12,HOU,@,DET,W5-4,GS-5,W(14-5),4,5.0,3,2,2,4,9,1,0,2.88,2.75,23,99,65,11,21,3,7,3,1,0,58,,,0,0,0,19,1,0,0,0,0,1,1.18,0.021,1.09,0.01%,0.64,1b start tie,5b 3 out a3
31,158,153,Sep 21,HOU,,LAA,W11-3,GS-7,W(15-5),8,7.0,6,3,3,0,12,1,0,2.92,2.71,27,102,71,22,20,3,12,6,0,0,65,,,0,0,0,27,1,1,0,0,0,0,.36,0.141,.23,0.05%,0.54,1t start tie,7t 3 out a4
32,159,159,Sep 28,HOU,@,BAL,W2-1,GS-6,,6,6.0,5,1,1,1,4,0,0,2.88,2.70,23,86,62,15,12,7,11,5,2,0,61,,,0,1,0,22,2,0,0,0,0,0,.81,0.202,.00,0.00%,2.01,1b start tie,6b 3 out tie
