Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,128,4,Apr 1,HOU,@,TEX,W8-2,GS-7,W(1-0),99,7.0,2,1,1,3,11,1,0,1.29,3.16,25,102,65,20,21,1,10,3,3,0,77,,,0,0,0,22,1,0,0,1,0,0,.84,0.252,.96,0.17%,2.94,1b start tie,7b 3 out a6
2,129,9,Apr 7,HOU,,SDP,W1-0,GS-7,,5,7.0,5,0,0,0,11,0,0,0.64,1.59,26,102,73,18,19,6,9,5,1,0,78,,,0,0,0,25,2,0,0,0,0,0,1.27,0.445,1.37,0.29%,3.54,1t start tie,7t 3 out tie
3,130,14,Apr 13,HOU,,TEX,W3-2,GS-7,,5,7.0,3,2,2,1,14,2,1,1.29,2.30,26,93,67,18,12,3,7,1,2,0,76,,,0,0,0,24,0,0,0,0,0,0,1.07,0.126,1.25,0.09%,1.54,1t start tie,7t 3 out tie
4,131,19,Apr 18,HOU,@,SEA,W7-1,GS-7,W(2-0),4,7.0,5,1,0,2,5,0,0,0.96,2.37,26,95,60,17,8,9,10,2,1,0,68,,,3,0,0,24,0,0,0,1,0,0,1.04,0.238,1.29,0.18%,2.36,1b start tie,7b 3 out a6
5,132,24,Apr 23,HOU,,LAA,L0-2,GS-7,L(2-1),4,7.0,4,2,2,2,8,0,0,1.29,2.25,26,109,74,23,14,6,10,3,1,0,67,,,1,0,0,24,1,0,0,1,0,0,.94,0.081,1.43,0.07%,1.54,1t start tie,7t 3 out d2
6,133,29,Apr 29,HOU,,OAK,W8-4,GS-7,,5,6.2,6,3,3,0,12,0,1,1.73,1.89,26,100,73,20,22,4,9,5,0,0,62,,,0,0,0,25,3,0,0,1,0,0,1.22,0.159,1.72,0.13%,1.22,1t start tie,7t -2- 2 out a1
7,134,34,May 4,HOU,@,ARI,W8-0,SHO,W(3-1),4,9.0,1,0,0,1,16,0,0,1.42,1.54,29,114,82,31,21,4,8,4,2,0,100,,,0,0,0,28,1,0,0,0,0,0,.27,0.170,.31,0.12%,4.57,1b start a 2,9b 3 out a8
8,135,39,May 9,HOU,@,OAK,W4-1,GS-6,W(4-1),4,6.0,4,1,1,3,9,0,0,1.43,1.55,24,101,64,15,17,2,10,3,2,0,66,,,0,1,0,21,2,0,0,0,0,0,1.00,0.157,1.38,0.13%,1.97,1b start tie,6b 3 out d1
9,136,44,May 15,HOU,@,LAA,W5-3,GS-5,,5,5.0,5,3,3,2,7,2,0,1.75,1.98,20,98,66,14,13,3,8,2,2,0,50,,,0,1,0,18,0,0,0,0,0,0,.61,-0.109,.96,-0.10%,-0.50,1b start tie,5b 3 out d2
10,137,49,May 22,HOU,,SFG,W11-2,GS-6,W(5-1),6,6.0,4,2,2,3,8,1,0,1.86,2.17,23,106,67,21,10,5,7,1,0,0,61,,,0,1,0,20,0,0,0,1,0,0,.86,0.196,1.11,0.15%,1.03,1t start tie,6t 3 out a3
11,138,54,May 27,HOU,@,CLE,L9-10,GS-7,,4,7.0,4,3,3,2,8,1,1,2.05,2.34,26,112,77,23,9,8,7,2,0,0,63,,,0,0,0,23,1,0,0,1,0,0,.73,0.001,.93,0.00%,0.69,1b start tie,7b 3 out d1
12,139,59,Jun 1,HOU,,BOS,W7-3,GS-7,W(6-1),4,7.0,5,3,3,1,7,2,0,2.20,2.60,27,105,66,21,12,7,12,6,1,0,61,,,1,0,0,26,1,0,0,0,0,0,1.08,0.179,1.44,0.14%,0.54,1t start tie,7t 3 out a1
