Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,268,1,Mar 30,NYY,,SFG,W5-0,GS-6,W(1-0),99,6.0,3,0,0,2,11,0,0,0.00,0.62,22,95,56,12,17,5,4,3,0,0,75,,,1,0,0,20,0,0,0,1,0,0,.98,0.306,.91,0.17%,2.87,36.50,61.00,1t start tie,6t 3 out a3
2,269,6,Apr 5,NYY,,PHI,W4-2,GS-7,W(2-0),5,6.1,3,1,1,3,8,0,0,0.73,1.42,23,103,68,15,15,4,8,4,4,0,68,,,0,0,1,20,1,0,0,0,0,0,.94,0.356,.84,0.19%,2.84,28.65,50.00,1t start tie,7t 1-- 1 out a2
3,270,11,Apr 11,NYY,@,CLE,W11-2,GS-7,W(3-0),5,7.0,5,2,2,2,3,0,0,1.40,2.10,26,97,64,18,6,10,11,7,1,0,60,,,0,0,0,23,2,0,0,2,1,0,.55,-0.048,.55,-0.03%,1.24,17.55,34.00,1b start tie,7b 3 out a8
4,271,16,Apr 16,NYY,,MIN,W2-0,SHO,W(4-0),4,9.0,2,0,0,1,10,0,0,0.95,1.88,29,109,73,19,16,10,8,2,1,0,92,,,0,0,0,27,0,0,0,1,0,0,.98,0.596,.99,0.36%,4.67,47.45,67.00,1t start tie,9t 3 out a2
5,272,21,Apr 22,NYY,,TOR,W3-2,GS-6,,5,5.2,4,0,0,2,4,0,1,0.79,2.14,23,96,62,22,6,6,10,2,1,0,63,,,0,1,0,20,2,0,0,0,0,0,1.12,0.284,1.19,0.18%,2.60,16.55,29.00,1t start tie,6t 1-3 2 out tie
6,273,26,Apr 27,NYY,@,TEX,W4-2,GS-7,W(5-0),4,6.2,6,2,2,1,8,0,0,1.11,2.01,27,92,69,15,14,7,11,4,2,0,61,,,0,0,0,26,2,0,0,0,0,0,1.35,0.171,1.31,0.10%,1.21,26.80,48.00,1b start tie,7b --- 2 out a1
7,274,31,May 2,NYY,,CLE,W4-2,GS-6,,4,6.0,5,2,2,3,8,0,1,1.35,2.09,27,108,69,22,6,7,8,2,1,0,59,,,1,0,0,23,1,0,0,0,0,0,1.12,0.023,.88,0.01%,0.87,20.10,40.00,1t start tie,6t 3 out d2
8,275,35,May 7,NYY,@,TBR,L7-8,GS-6,,4,5.0,8,6,5,2,6,2,0,2.09,2.59,26,95,61,14,9,9,9,4,0,0,33,,,1,0,0,24,2,0,0,0,0,0,.88,-0.361,.78,-0.19%,-3.75,7.25,18.00,1b start tie,6b --- 0 out tie
9,276,40,May 12,NYY,,TBR,W6-5,GS-5,,4,5.0,5,2,2,2,4,2,0,2.22,3.08,23,95,63,11,15,8,9,3,0,0,51,,,0,0,0,21,0,0,0,0,0,1,.76,0.024,.68,0.01%,0.39,11.05,21.00,1t start tie,5t 3 out d1
10,277,45,May 17,NYY,@,TOR,L0-3,GS-7,,4,6.0,7,0,0,2,6,0,0,2.01,3.00,28,104,70,17,13,7,13,10,3,0,62,,,0,0,0,26,1,0,0,1,0,2,1.39,0.208,1.51,0.14%,1.86,20.10,40.00,1b start tie,7b 12- 0 out tie
11,278,50,May 23,NYY,,BAL,W6-5,GS-6,,5,5.0,6,5,5,3,2,2,0,2.53,3.48,23,99,63,17,5,6,12,5,1,0,34,,,0,0,0,20,1,0,0,1,0,0,.67,-0.302,.79,-0.21%,-2.41,-0.15,6.00,1t start tie,6t 12- 0 out tie
12,279,55,May 28,NYY,,SDP,W10-7,GS-7,W(6-0),4,6.0,4,6,5,3,9,2,0,2.93,3.69,24,100,62,22,10,2,10,3,2,0,48,,,1,0,0,21,0,0,0,0,0,0,.59,-0.240,.59,-0.14%,-2.51,21.30,36.00,1t start tie,7t 1-- 0 out a3
13,280,60,Jun 3,NYY,@,LAD,W6-3,GS-6,W(7-0),5,6.0,4,1,1,2,5,0,1,2.82,3.65,23,80,50,15,8,2,13,2,4,0,63,,,0,1,0,20,0,0,0,1,0,0,1.00,0.216,1.04,0.14%,2.20,21.30,40.00,1b start tie,6b 3 out a4
