Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
24,118,115,Aug 10,PIT,@,DET,W7-5,GS-8,W(10-8),4,8.0,6,3,3,1,7,1,0,3.96,4.19,29,102,73,24,7,7,14,6,4,0,64,,,0,0,0,28,0,1,0,2,0,0,.92,0.113,.80,0.06%,1.27,1b start a 1,8b 3 out a4
25,119,120,Aug 16,PIT,@,MIL,L6-7,GS-6,,5,6.0,5,4,4,2,9,3,0,4.04,4.32,25,109,72,29,9,5,9,4,0,0,53,,,0,0,0,23,0,0,0,0,0,0,.98,-0.064,.90,-0.04%,-0.87,1b start a 1,6b 3 out tie
26,120,125,Aug 21,PIT,,LAD,L5-6,GS-7,,4,6.1,8,5,5,2,7,1,1,4.16,4.33,31,112,73,21,12,9,12,5,1,0,42,,,0,0,0,28,1,0,0,0,0,1,1.42,-0.409,.64,-0.11%,-1.76,1t start tie,7t --- 1 out d2
27,121,130,Aug 26,PIT,@,CIN,W1-0,GS-7,W(11-8),4,7.0,5,0,0,0,6,0,0,3.99,4.21,25,100,70,18,15,15,5,1,1,0,73,,,2,0,0,24,0,0,0,1,0,0,1.30,0.484,.26,0.06%,3.66,1b start tie,7b 3 out a1
28,122,135,Sep 1,PIT,,CIN,L3-7,GS-6,L(11-9),5,6.0,6,5,5,3,6,0,0,4.11,4.15,26,101,58,19,10,8,9,4,0,0,43,,,1,0,0,22,2,1,0,1,1,0,.74,-0.251,.03,-0.01%,-1.99,1t start tie,6t 3 out d3
29,123,140,Sep 6,PIT,,CHC,L0-1,GS-8,,4,8.0,2,0,0,4,8,0,0,3.93,4.09,29,108,71,19,13,9,8,4,1,0,82,,,0,0,0,25,0,0,0,1,0,0,1.11,0.550,.10,0.03%,4.01,1t start tie,8t 3 out tie
30,124,146,Sep 12,PIT,@,MIL,L2-5,GS-6,L(11-10),5,6.0,7,5,5,2,10,1,0,4.04,4.05,26,96,69,18,18,6,8,4,1,0,46,,,1,1,0,24,2,0,1,0,0,1,1.06,-0.319,.00,0.00%,-1.87,1b start tie,6b 3 out d3
31,125,150,Sep 17,PIT,@,CIN,L2-5,GS-6,L(11-11),4,5.0,3,4,4,4,6,2,0,4.13,4.16,22,87,50,14,11,3,9,3,2,0,47,,,0,0,0,18,0,0,0,0,0,0,.91,-0.089,.00,0.00%,-1.39,1b start tie,6b --- 0 out d4
32,126,155,Sep 23,PIT,,STL,W11-6,GS-6,W(12-11),5,5.2,7,5,5,1,5,1,0,4.23,4.16,25,103,65,20,11,8,11,6,2,0,39,,,0,0,0,24,2,0,0,0,0,1,.53,-0.105,.00,0.00%,-0.43,1t start tie,6t 12- 2 out a7
33,127,160,Sep 29,PIT,@,WSN,L1-6,GS-6,L(12-12),5,5.1,8,3,3,1,7,0,0,4.26,4.08,22,103,62,20,6,5,9,6,1,0,46,,,1,0,0,21,2,0,0,1,0,0,.88,0.017,.00,0.00%,0.28,1b start tie,6b 12- 1 out d2
