Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,20,4,Apr 4,PIT,,STL,W12-2,GS-7,W(1-0),99,7.0,6,2,2,2,3,1,0,2.57,4.99,29,108,73,23,7,15,9,6,0,0,58,,,0,0,0,27,0,0,0,0,0,0,1.20,0.169,1.35,0.11%,1.06,1t start tie,7t 3 out a4
2,21,9,Apr 10,PIT,@,CHC,W5-4,GS-6,W(2-0),5,6.0,5,4,3,2,10,0,1,3.46,3.29,25,100,70,22,15,7,5,3,0,0,56,,,3,1,0,22,0,0,0,1,0,1,.73,-0.186,.88,-0.13%,-1.30,1b start tie,6b 3 out d4
3,22,14,Apr 15,PIT,@,CIN,L5-7,GS-6,L(2-1),4,6.0,9,5,5,3,3,2,0,4.74,4.76,28,98,62,17,10,9,13,9,1,0,34,,,3,0,0,24,1,0,0,2,0,0,1.29,-0.384,1.35,-0.24%,-2.35,1b start tie,6b 3 out d3
4,23,19,Apr 20,PIT,,MIL,L2-3,GS-8,,4,8.0,6,1,1,1,6,1,0,3.67,4.43,28,91,64,20,12,15,6,3,0,0,71,,,0,0,1,27,1,1,0,2,0,0,1.19,0.269,1.13,0.15%,2.50,1t start tie,8t 3 out tie
5,24,24,Apr 25,PIT,@,STL,L0-1,GS-7,L(2-2),4,7.0,6,1,1,3,4,0,1,3.18,4.28,31,102,62,20,6,17,6,3,0,0,62,,,0,0,0,27,2,0,0,0,0,1,.99,0.179,.71,0.08%,2.09,1b start tie,7b 3 out d1
6,25,29,May 2,PIT,,TOR,W6-5,GS-5,,6,5.0,7,4,4,1,6,1,0,3.69,4.23,23,95,57,21,6,7,9,5,2,0,42,,,2,0,0,22,4,0,0,0,0,0,1.09,-0.287,.50,-0.08%,-1.81,1t start tie,5t 3 out d2
7,26,34,May 7,PIT,,SFG,W4-3,GS-8,W(3-2),4,8.0,7,3,3,1,7,1,0,3.64,4.09,31,107,68,18,11,9,14,6,2,0,62,,,0,0,0,30,2,0,0,0,0,0,1.08,0.205,.56,0.06%,0.50,1t start tie,8t 3 out a1
8,27,38,May 13,PIT,@,MIL,L2-5,GS-6,L(3-3),5,5.2,7,3,3,3,6,0,1,3.76,3.99,28,105,64,14,11,11,7,5,0,0,46,,,2,0,0,23,2,0,0,0,0,0,1.29,-0.128,1.07,-0.06%,-0.74,1b start a 1,6b 1-3 2 out d2
9,28,43,May 18(2),PIT,@,NYY,W5-3,GS-6,W(4-3),4,6.0,7,3,3,2,8,1,0,3.84,3.95,25,99,66,18,10,6,9,3,2,0,52,,,0,0,0,23,0,1,0,1,0,0,1.00,-0.128,.48,-0.04%,-0.22,1b start tie,6b 3 out tie
10,29,48,May 24,PIT,,WSN,W3-2,GS-6,,5,6.0,5,2,2,3,7,1,2,3.76,4.09,28,112,69,27,6,7,10,6,2,0,58,,,2,0,0,22,0,0,0,0,0,0,1.15,-0.003,.76,0.00%,0.62,1t start tie,6t 3 out d1
11,30,53,May 29,PIT,@,LAD,W6-3,GS-7,W(5-3),4,6.1,6,3,3,2,3,0,0,3.80,4.01,27,88,57,23,3,14,8,3,3,0,50,,,3,0,0,24,2,1,0,0,0,0,1.14,-0.148,.69,-0.05%,-0.49,1b start tie,7b 1-- 1 out a3
