Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
12,31,58,Jun 3,PIT,@,SDP,W4-1,GS-6,W(6-3),4,5.2,4,1,1,2,6,0,0,3.64,3.86,22,100,62,22,9,6,8,4,1,0,61,,,0,1,0,19,1,0,0,0,0,0,.77,0.146,.64,0.07%,1.05,1b start tie,6b 12- 2 out a3
13,32,81,Jun 28,PIT,,NYM,L3-5,GS-4,L(6-4),24,4.0,7,5,5,3,4,0,0,4.02,3.84,22,93,57,13,6,6,9,3,0,0,29,,,4,0,0,19,2,0,0,0,0,0,.62,-0.336,.58,-0.19%,-3.25,1t start tie,4t 3 out d5
14,33,86,Jul 4,PIT,,PHI,W8-2,GS-5,W(7-4),5,5.0,1,0,0,1,5,0,1,3.78,3.75,18,80,51,18,8,9,2,1,0,0,69,,,1,0,0,16,0,0,0,0,0,0,.44,0.155,.47,0.10%,2.19,1t start tie,5t 3 out a5
15,34,127,Aug 20,PIT,,ATL,W3-2,GS-7,,46,7.0,5,2,2,4,6,0,0,3.69,3.70,28,97,61,18,12,10,8,4,1,0,61,,,0,0,0,22,2,0,1,1,0,0,1.07,0.050,1.16,0.03%,1.06,1t start tie,7t 3 out d2
16,35,132,Aug 26,PIT,,STL,W5-2,GS-7,,5,6.0,3,2,2,1,9,0,1,3.65,3.55,23,108,69,20,11,5,7,2,2,0,66,,,0,0,0,21,2,0,0,0,0,0,.88,0.126,1.16,0.10%,1.29,1t start tie,7t 1-3 0 out a2
17,36,137,Sep 1,PIT,@,STL,L4-5,GS-7,L(7-5),5,6.1,8,5,5,3,4,1,0,3.86,3.66,28,94,57,10,11,8,13,6,1,0,38,,,0,1,0,25,1,1,0,1,0,0,1.25,-0.346,2.96,-0.49%,-1.80,1b start a 2,7b --3 1 out tie
18,37,142,Sep 7,PIT,@,CHC,W10-4,GS-7,W(8-5),5,6.0,9,4,3,0,8,0,1,3.89,3.51,27,106,72,20,15,9,9,4,1,0,48,,,0,0,0,24,1,1,0,0,0,0,.24,0.057,.36,0.05%,-1.67,1b start a 2,7b 1-- 0 out a6
19,38,147,Sep 12,PIT,,CHC,W7-3,GS-6,W(9-5),4,6.0,5,3,3,1,6,2,1,3.92,3.66,25,103,69,18,11,7,10,2,3,0,55,,,0,0,0,23,0,0,0,0,0,0,1.41,-0.007,3.27,-0.01%,-0.38,1t start tie,6t 3 out a1
20,39,152,Sep 18,PIT,,BOS,W3-2,GS-8,W(10-5),5,7.0,6,2,2,0,7,0,0,3.85,3.52,27,98,66,24,10,12,8,3,0,0,64,,,1,0,0,26,0,0,0,0,0,0,1.00,0.051,1.98,0.06%,0.73,1t start tie,8t 1-3 0 out a2
21,40,157,Sep 23,PIT,@,ATL,W3-2,GS-7,W(11-5),4,7.0,4,2,2,2,8,0,0,3.78,3.42,24,111,72,22,12,6,8,3,0,0,67,,,0,1,0,22,1,0,0,1,0,0,.97,0.180,1.08,0.12%,1.03,1b start tie,7b 3 out a1
22,41,162,Sep 28,PIT,@,CIN,L1-4,GS-7,,4,7.0,4,1,1,0,12,0,0,3.65,3.23,24,102,71,24,11,6,6,4,1,0,77,,,0,1,0,24,0,0,0,0,0,0,.99,0.287,2.91,0.51%,2.09,1b start tie,7b 3 out tie
