Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,193,1,Jul 23,NYY,@,WSN,W4-1,CG(5),W(1-0),99,5.0,1,1,1,1,5,1,1,1.80,4.99,18,75,46,12,9,1,10,2,0,0,65,,,0,0,0,16,0,0,0,0,0,0,.90,0.194,.96,0.12%,1.71,,,1b start a 2,5b 3 out a3
2,194,4,Jul 29,NYY,@,BAL,W9-3,GS-7,W(2-0),5,6.2,4,3,3,2,7,1,0,3.09,4.39,26,102,69,18,11,5,12,6,2,0,59,,,0,0,0,24,3,0,0,0,0,0,.65,0.125,.77,0.09%,0.49,,,1b start a 2,7b -2- 2 out a4
3,195,9,Aug 3,NYY,,PHI,W6-3,GS-6,W(3-0),4,6.0,5,1,1,1,4,1,0,2.55,4.44,23,91,58,16,6,8,10,4,1,0,61,,,0,0,0,22,0,0,0,1,0,0,1.04,0.230,.90,0.12%,2.09,,,1t start tie,6t 3 out a2
4,196,14,Aug 8(1),NYY,@,TBR,W8-4,GS-5,,4,4.2,6,3,3,1,10,1,0,3.22,4.00,21,107,66,14,19,4,6,3,1,0,49,,,0,0,0,20,4,0,0,0,0,0,.78,0.077,.79,0.05%,-0.61,,,1b start tie,5b --- 2 out a2
5,197,19,Aug 14,NYY,,BOS,W10-3,GS-7,W(4-0),5,7.0,4,1,1,0,8,1,0,2.76,3.70,24,95,66,18,16,6,10,3,1,0,73,,,0,1,0,24,1,0,0,0,0,0,.88,0.246,.86,0.14%,2.61,,,1t start tie,7t 3 out a4
6,198,24,Aug 19,NYY,,TBR,L2-4,GS-7,,4,6.2,6,2,2,1,10,2,0,2.75,3.86,27,109,78,22,18,10,6,4,1,0,63,,,0,0,0,26,1,0,0,0,0,0,.90,0.140,.68,0.06%,1.37,,,1t start tie,7t 1-- 2 out tie
7,199,26,Aug 26(1),NYY,@,ATL,L1-5,GS-6,L(4-1),6,5.0,5,5,5,2,9,3,0,3.51,4.43,22,103,62,18,21,4,7,2,0,0,44,,,1,0,0,20,1,0,0,0,0,0,.54,-0.203,.45,-0.10%,-2.44,,,1b start tie,6b 1-3 0 out d3
8,200,33,Aug 31,NYY,,TBR,L3-5,GS-5,L(4-2),4,5.0,8,4,4,4,7,2,1,3.91,4.89,27,103,65,17,16,4,11,7,0,0,38,,,0,0,0,22,1,0,0,0,0,0,.74,-0.178,.81,-0.12%,-1.42,,,1t start tie,5t 3 out d4
9,201,39,Sep 5,NYY,@,BAL,L1-6,GS-6,L(4-3),4,6.0,4,5,1,2,10,1,0,3.63,4.67,25,101,67,9,17,5,8,3,1,0,60,,,0,0,0,23,2,0,0,0,0,1,.90,-0.097,1.23,-0.08%,-1.72,,,1b start tie,6b 3 out d5
10,202,44,Sep 11(1),NYY,,BAL,W6-0,SHO(7),W(5-3),5,7.0,2,0,0,1,9,0,0,3.20,4.24,25,114,74,14,26,6,9,5,1,0,81,,,0,0,0,24,0,0,0,0,0,1,.38,0.180,.72,0.21%,3.61,,,1t start tie,7t 3 out a6
11,203,49,Sep 16,NYY,,TOR,W13-2,GS-7,W(6-3),4,7.0,3,1,1,2,8,0,0,3.00,3.98,26,95,64,18,12,3,13,5,4,0,73,,,0,0,0,24,1,0,0,0,0,0,.42,0.223,.26,0.08%,2.61,,,1t start tie,7t 3 out a10
12,204,55,Sep 22,NYY,@,TOR,W12-1,GS-7,W(7-3),5,7.0,5,1,1,0,7,1,0,2.84,3.89,24,108,77,19,13,10,7,2,0,0,70,,,0,0,0,24,0,0,0,2,0,0,.64,0.179,.29,0.05%,2.72,,,1b start a 2,7b 3 out a6
