Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,205,1,Apr 1,NYY,,TOR,L2-3,GS-6,,99,5.1,5,2,2,2,8,1,0,3.38,3.73,23,97,62,15,13,4,9,2,2,0,56,,,0,0,0,21,0,0,0,0,0,0,1.15,0.023,1.25,0.02%,0.59,,,1t start tie,6t 1-- 1 out tie
2,206,5,Apr 6,NYY,,BAL,W7-2,GS-7,W(1-0),4,7.0,4,0,0,0,13,0,0,1.46,1.31,25,97,71,18,22,3,9,3,3,0,82,,,1,0,0,25,1,0,0,0,0,0,.93,0.367,.95,0.23%,3.65,,,1t start tie,7t 3 out a3
3,207,10,Apr 12,NYY,@,TOR,W3-1,GS-6,W(2-0),5,6.0,3,1,1,1,8,0,0,1.47,1.21,22,98,65,22,13,6,7,2,1,0,69,,,0,0,0,21,0,0,0,0,0,0,1.03,0.260,1.08,0.16%,2.26,,,1b start tie,6b 3 out a1
4,208,15,Apr 18,NYY,,TBR,L2-4,GS-7,L(2-1),5,6.1,5,3,2,0,10,0,1,1.82,1.02,25,109,74,19,16,3,11,5,0,0,63,,,0,0,0,23,1,0,0,0,1,0,1.06,-0.102,.87,-0.05%,-0.05,,,1t start tie,7t -2- 1 out d1
5,209,20,Apr 24,NYY,@,CLE,W2-1,GS-7,W(3-1),5,7.0,3,1,1,0,11,0,0,1.71,0.80,24,111,75,20,13,6,7,2,2,0,78,,,1,0,0,24,1,1,0,0,0,0,1.03,0.355,.88,0.18%,2.65,,,1b start tie,7b 3 out a1
6,210,26,Apr 30,NYY,,DET,W10-0,GS-6,W(4-1),5,6.0,4,0,0,0,12,0,0,1.43,0.54,21,87,61,17,20,4,5,2,1,0,76,,,0,0,0,21,0,0,0,1,0,0,.49,0.196,.42,0.10%,3.13,,,1t start tie,6t 3 out a10
7,211,31,May 6,NYY,,HOU,L4-7,GS-7,,5,7.0,5,2,2,0,4,2,0,1.61,1.36,24,97,71,21,6,10,10,2,2,0,63,,,0,0,0,24,0,0,0,2,0,0,.94,0.198,1.03,0.13%,1.65,,,1t start tie,7t 3 out a1
8,212,36,May 12,NYY,@,TBR,W1-0,GS-8,W(5-1),5,8.0,4,0,0,0,12,0,0,1.37,1.18,27,106,73,22,23,9,6,1,2,0,86,,,0,0,0,27,2,0,0,1,0,0,1.19,0.599,1.51,0.46%,3.92,,,1b start tie,8b 3 out a1
9,213,41,May 17,NYY,@,TEX,L2-5,GS-6,L(5-2),4,5.0,7,5,5,2,7,2,0,2.03,1.66,23,89,58,17,15,4,10,3,0,0,38,,,1,0,0,21,3,0,0,1,0,0,.79,-0.206,.89,-0.14%,-1.78,,,1b start a 1,6b 1-- 0 out d3
10,214,46,May 22,NYY,,CHW,W7-0,GS-7,W(6-2),4,7.0,4,0,0,3,7,0,0,1.81,1.75,25,95,62,21,11,12,3,2,0,0,73,,,0,0,0,22,0,0,0,4,0,0,.78,0.298,1.00,0.23%,3.65,,,1t start tie,7t 3 out a6
11,215,51,May 28,NYY,@,DET,L2-3,GS-6,,5,6.0,6,1,1,1,5,0,0,1.78,1.77,24,103,67,11,12,10,8,5,1,0,60,,,1,0,0,23,1,0,0,1,0,0,1.27,0.219,1.49,0.16%,2.03,,,1b start tie,6b 3 out tie
12,216,57,Jun 3,NYY,,TBR,L2-9,GS-5,L(6-3),5,5.0,5,5,5,2,7,1,0,2.26,1.93,22,92,61,16,14,4,9,5,1,0,42,,,0,0,0,20,0,0,0,0,0,0,1.03,-0.275,1.46,-0.23%,-2.39,,,1t start tie,5t 3 out d4
13,217,62,Jun 9,NYY,@,MIN,W9-6,GS-6,W(7-3),5,6.0,5,2,2,0,9,2,0,2.31,2.12,23,94,66,21,8,2,12,5,3,0,63,,,0,0,0,23,0,0,0,0,0,0,.51,0.145,.43,0.07%,1.07,,,1b start a 1,6b 3 out a6
14,218,67,Jun 16,NYY,@,TOR,W3-2,GS-8,W(8-3),6,8.0,4,2,2,1,4,2,0,2.31,2.45,29,104,70,15,15,14,10,1,0,0,69,,,0,0,0,28,0,0,0,1,0,1,.96,0.349,.79,0.17%,2.34,,,1b start a 1,8b 3 out a1
15,219,72,Jun 22,NYY,,KCR,L5-6,GS-7,,5,7.0,3,2,2,3,6,1,0,2.33,2.60,27,108,72,16,14,11,7,2,0,0,66,,,0,0,0,24,0,0,0,0,0,0,1.22,0.232,1.28,0.15%,1.65,,,1t start tie,7t 3 out tie
16,220,77,Jun 27,NYY,@,BOS,L2-9,GS-5,L(8-4),4,5.0,8,6,5,2,6,3,0,2.66,2.95,25,89,59,15,14,3,14,6,0,0,33,,,1,0,0,22,1,0,0,0,1,0,.38,-0.305,.40,-0.19%,-3.21,,,1b start tie,5b 3 out d6
17,221,82,Jul 4(1),NYY,,NYM,L5-10,GS-4,,6,3.1,6,4,4,3,6,1,0,2.91,3.06,19,80,49,9,10,3,7,5,0,0,35,,,1,0,0,16,0,0,0,0,0,0,1.68,-0.309,1.01,-0.11%,-2.51,,,1t start tie,4t 123 1 out a1
18,222,88,Jul 10,NYY,@,HOU,W1-0,SHO,W(9-4),5,9.0,3,0,0,2,12,0,0,2.68,2.91,31,129,83,29,13,6,11,1,2,0,91,,,1,0,0,29,0,0,0,1,0,0,1.81,0.859,1.38,0.39%,4.74,,,1b start tie,9b 3 out a1
19,223,91,Jul 17,NYY,,BOS,W3-1,CG(6),W(10-4),6,6.0,5,1,1,2,11,0,0,2.63,2.79,25,96,63,22,16,5,7,3,0,0,67,,,1,0,0,23,1,0,0,0,0,0,1.12,0.224,.78,0.09%,2.13,,,1t start tie,6t 3 out tie
20,224,96,Jul 23,NYY,@,BOS,L2-6,GS-5,L(10-5),5,5.0,6,3,3,2,8,1,0,2.74,2.83,23,104,66,19,15,2,11,7,1,0,49,,,0,0,0,20,2,0,0,0,1,0,1.17,-0.105,1.03,-0.06%,-0.21,,,1b start tie,5b 3 out d2
21,225,101,Jul 29,NYY,@,TBR,L0-14,GS-6,L(10-6),5,5.1,6,8,7,2,10,1,0,3.11,2.83,25,105,67,12,21,6,7,2,0,0,34,,,0,0,0,22,1,0,0,0,1,1,.43,-0.276,.44,-0.17%,-3.96,,,1b start tie,6b 12- 1 out d6
22,226,118,Aug 16,NYY,,LAA,W2-1,GS-6,W(11-6),17,5.2,2,1,1,1,9,1,0,3.04,2.83,21,90,59,16,15,6,5,1,1,0,69,,,0,0,0,20,0,0,0,0,0,1,.96,0.236,1.29,0.19%,1.89,,,1t start tie,6t 1-- 2 out a1
23,227,124,Aug 21,NYY,,MIN,W7-1,GS-6,W(12-6),4,6.0,5,0,0,1,6,0,0,2.92,2.78,24,97,65,22,11,9,8,6,2,0,67,,,1,0,0,23,1,0,0,0,0,0,1.22,0.305,1.93,0.29%,3.13,,,1t start tie,6t 3 out a6
